Timestamp,Student ID,Attendance,Facial Expression,Interaction Level,Posture,Movement (m),Heart Rate,Skin Temperature,Breathing Rate,Classroom Noise Level,Lighting,Attention,Engagement,Inactivity,Class Subject,Date
2024-12-01,1,1,Sad,3,Upright,3.68,94,35.2,18,51,203,0,0,1,Mathematics,2024-12-01
2024-12-02,1,0,Angry,3,Leaning Forward,3.25,94,36.0,19,68,235,0,0,1,Mathematics,2024-12-02
2024-12-03,1,1,Neutral,4,Upright,1.08,81,35.3,18,53,245,0,2,0,Science,2024-12-03
2024-12-04,1,1,Angry,1,Slouched,0.39,78,37.1,17,68,224,1,0,0,Mathematics,2024-12-04
2024-12-05,1,0,Neutral,1,Upright,4.33,84,35.7,17,55,247,0,2,0,Science,2024-12-05
2024-12-06,1,1,Happy,9,Leaning Forward,0.86,75,35.4,18,58,281,0,2,0,History,2024-12-06
2024-12-07,1,0,Happy,5,Slouched,1.34,73,37.3,17,56,283,1,0,0,Literature,2024-12-07
2024-12-08,1,1,Sad,4,Upright,1.23,95,36.3,18,68,251,1,2,0,Science,2024-12-08
2024-12-09,1,1,Happy,0,Upright,0.76,70,37.0,18,69,208,0,0,1,Literature,2024-12-09
2024-12-10,1,1,Angry,4,Leaning Forward,4.3,60,36.7,13,67,296,1,2,0,Science,2024-12-10
2024-12-11,1,1,Surprised,2,Slouched,0.02,76,37.4,14,66,213,1,0,0,Science,2024-12-11
2024-12-12,1,1,Sad,8,Leaning Forward,4.59,98,35.8,12,53,246,0,0,1,Science,2024-12-12
2024-12-13,1,0,Angry,1,Upright,3.66,64,37.4,20,54,216,0,0,1,Literature,2024-12-13
2024-12-14,1,1,Sad,8,Leaning Forward,3.45,79,36.0,17,64,266,0,1,0,Literature,2024-12-14
2024-12-15,1,0,Happy,5,Upright,2.94,74,36.5,12,52,290,0,0,1,Mathematics,2024-12-15
2024-12-16,1,0,Neutral,1,Leaning Forward,1.19,91,35.5,14,68,273,0,0,1,Literature,2024-12-16
